Type,# Fat,Date,Month,Day,Hour,Time,x,y,Year
Motor Vehicle,1,2015-01-18,1,7,21,21:23,-97.748399,30.298288,2015
Pedestrian,1,2015-01-20,1,2,18,18:36,-97.692509,30.338413,2015
Motor Vehicle,1,2015-01-24,1,6,4,04:17,-97.701386,30.194606,2015
Motor Vehicle,1,2015-01-27,1,2,21,21:42,-97.713545,30.351126,2015
Motor Vehicle,1,2015-01-09,1,5,2,02:58,-97.6745,30.409123,2015
Pedestrian,1,2015-02-11,2,3,2,02:46,-97.694587,30.36736,2015
Motor Vehicle,1,2015-02-12,2,4,12,12:23,-97.817727,30.271634,2015
Motor Vehicle,1,2015-02-15,2,7,1,01:06,-97.657145,30.303036,2015
Motor Vehicle,1,2015-02-22,2,7,6,06:13,-97.695888,30.415821,2015
Motor Vehicle,1,2015-02-23,2,1,1,01:17,-97.703825,30.332368,2015
Pedestrian,1,2015-03-15,3,7,3,03:27,-97.677277,30.328779,2015
Motor Vehicle,1,2015-03-18,3,3,2,02:23,-97.737571,30.313464,2015
Pedestrian,1,2015-03-19,3,4,22,22:29,-97.671929,30.22016,2015
Motorcycle,1,2015-03-23,3,1,3,03:17,-97.805879,30.174032,2015
Motor Vehicle,1,2015-03-23,3,1,21,21:03,-97.823769,30.38731,2015
Motor Vehicle,1,2015-03-28,3,6,4,04:12,-97.756048,30.317719,2015
Motorcycle,1,2015-03-28,3,6,18,18:07,-97.663628,30.291885,2015
Motorcycle,1,2015-03-29,3,7,1,01:15,-97.670686,30.430611,2015
Motorcycle,1,2015-03-30,3,1,6,06:50,-97.80491,30.375732,2015
Motor Vehicle,1,2015-03-27,3,5,20,20:24,-97.80619,30.173966,2015
Motor Vehicle,1,2015-04-12,4,7,20,10:31,-97.71428,30.407375,2015
Pedestrian,2,2015-04-22,4,3,6,06:00,-97.72692,30.210462,2015
Motorcycle,1,2015-04-22,4,3,20,20:52,-97.789573,30.481956,2015
Pedestrian,1,2015-04-26,4,7,2,02:26,-97.683292,30.217685,2015
Motorcycle,1,2015-04-29,4,3,8,08:34,-97.77009,30.275775,2015
Pedestrian,1,2015-05-04,5,1,12,12:04,-97.763421,30.223733,2015
Motor Vehicle,2,2015-05-10,5,7,3,03:24,-97.65258,30.391028,2015
Pedestrian,1,2015-05-15,5,5,21,21:47,-97.722274,30.371675,2015
Motorcycle,1,2015-05-16,5,6,1,01:08,-97.78766,30.239787,2015
Pedestrian,1,2015-05-22,5,5,2,02:23,-97.741494,30.252034,2015
Motor Vehicle,1,2015-05-01,5,5,9,09:17,-97.691335,30.249889,2015
Motor Vehicle,1,2015-05-25,5,1,9,09:04,-97.678176,30.407802,2015
Motor Vehicle,1,2015-05-27,5,3,21,21:30,-97.791119,30.198508,2015
Pedestrian,1,2015-06-01,6,1,9,09:55,-97.749276,30.259758,2015
Motor Vehicle,1,2015-06-01,6,1,22,22:07,-97.832534,30.326339,2015
Bicycle,1,2015-06-06,6,6,18,18:34,-97.652402,30.293725,2015
Pedestrian,1,2015-06-06,6,6,23,23:00,-97.711045,30.321464,2015
Motorcycle,1,2015-06-08,6,1,15,15:24,-97.804447,30.224703,2015
Pedestrian,1,2015-06-14,6,7,22,22:49,-97.764739,30.197422,2015
Motor Vehicle,1,2015-06-19,6,5,0,00:56,-97.787125,30.229558,2015
Motor Vehicle,1,2015-06-28,6,7,1,01:51,-97.664757,30.288454,2015
Motor Vehicle,1,2015-07-02,7,4,18,18:13,-97.70732,30.322081,2015
Pedestrian,1,2015-07-08,7,3,21,21:55,-97.756365,30.235508,2015
Pedestrian,1,2015-07-11,7,6,1,01:21,-97.695696,30.336382,2015
Pedestrian,1,2015-07-11,7,6,3,03:14,-97.727401,30.268499,2015
Motor Vehicle,1,2015-07-11,7,6,19,19:09,-97.79421,30.144131,2015
Motor Vehicle,1,2015-07-03,7,5,13,13:42,-97.702194,30.265992,2015
Pedestrian,1,2015-07-14,7,1,23,23:01,-97.671486,30.326066,2015
